track_title	word	album	n
34+35	4.5	Positions	1
34+35	69	Positions	1
34+35	alright	Positions	1
34+35	babe	Positions	2
34+35	babies	Positions	1
34+35	baby	Positions	1
34+35	bed	Positions	1
34+35	bitch	Positions	1
34+35	boy	Positions	2
34+35	candy	Positions	1
34+35	chick	Positions	1
34+35	class	Positions	1
34+35	coffee	Positions	6
34+35	counting	Positions	1
34+35	cravin	Positions	1
34+35	crazy	Positions	1
34+35	daylight	Positions	7
34+35	dick	Positions	1
34+35	doin	Positions	2
34+35	door	Positions	1
34+35	dream	Positions	1
34+35	drink	Positions	1
34+35	drinking	Positions	4
34+35	earthquake	Positions	2
34+35	eating	Positions	4
34+35	energy	Positions	3
34+35	favorite	Positions	2
34+35	fuck	Positions	6
34+35	gimme	Positions	1
34+35	healthy	Positions	6
34+35	heavy	Positions	1
34+35	hit	Positions	2
34+35	hmm	Positions	1
34+35	i'ma	Positions	3
34+35	inside	Positions	1
34+35	leave	Positions	1
34+35	life	Positions	2
34+35	lightweight	Positions	2
34+35	math	Positions	1
34+35	means	Positions	3
34+35	midnight	Positions	1
34+35	movies	Positions	2
34+35	mе	Positions	1
34+35	neighbors	Positions	1
34+35	night	Positions	8
34+35	ooh	Positions	1
34+35	plainly	Positions	1
34+35	ride	Positions	1
34+35	saving	Positions	3
34+35	seatbelt	Positions	1
34+35	shake	Positions	1
34+35	shit	Positions	3
34+35	snooze	Positions	1
34+35	spots	Positions	2
34+35	squeaky	Positions	3
34+35	started	Positions	1
34+35	stay	Positions	8
34+35	sunrise	Positions	2
34+35	tastes	Positions	1
34+35	thirty	Positions	15
34+35	til	Positions	7
34+35	time	Positions	2
34+35	tonight	Positions	5
34+35	top	Positions	2
34+35	true	Positions	2
34+35	wanna	Positions	4
34+35	watchin	Positions	2
34+35	water	Positions	2
34+35	wifey	Positions	1
34+35	wine	Positions	1
34+35	yeah	Positions	45
34+35	yellin	Positions	1
34+35	yеah	Positions	1
7 rings	addiction	Thank U, Next	1
7 rings	ass	Thank U, Next	1
7 rings	atm	Thank U, Next	1
7 rings	baby	Thank U, Next	1
7 rings	bad	Thank U, Next	1
7 rings	bag	Thank U, Next	1
7 rings	beamin	Thank U, Next	1
7 rings	bitch	Thank U, Next	1
7 rings	bitches	Thank U, Next	1
7 rings	black	Thank U, Next	1
7 rings	booth	Thank U, Next	1
7 rings	bottles	Thank U, Next	1
7 rings	bottoms	Thank U, Next	1
7 rings	bought	Thank U, Next	6
7 rings	brag	Thank U, Next	1
7 rings	breakfast	Thank U, Next	1
7 rings	bubbles	Thank U, Next	1
7 rings	budget	Thank U, Next	1
7 rings	business	Thank U, Next	1
7 rings	buy	Thank U, Next	1
7 rings	calls	Thank U, Next	1
7 rings	card	Thank U, Next	2
7 rings	checks	Thank U, Next	1
7 rings	closet	Thank U, Next	2
7 rings	crib	Thank U, Next	1
7 rings	deposits	Thank U, Next	1
7 rings	diamonds	Thank U, Next	2
7 rings	em	Thank U, Next	2
7 rings	favorite	Thank U, Next	1
7 rings	flossy	Thank U, Next	1
7 rings	friends	Thank U, Next	1
7 rings	gee	Thank U, Next	4
7 rings	gimme	Thank U, Next	1
7 rings	girls	Thank U, Next	1
7 rings	gleamin	Thank U, Next	2
7 rings	gloss	Thank U, Next	1
7 rings	gon	Thank U, Next	1
7 rings	hair	Thank U, Next	4
7 rings	happiness	Thank U, Next	1
7 rings	jet	Thank U, Next	1
7 rings	juice	Thank U, Next	1
7 rings	lashes	Thank U, Next	1
7 rings	lookin	Thank U, Next	1
7 rings	loop	Thank U, Next	1
7 rings	loot	Thank U, Next	1
7 rings	machines	Thank U, Next	1
7 rings	matching	Thank U, Next	1
7 rings	mind	Thank U, Next	1
7 rings	money	Thank U, Next	4
7 rings	nah	Thank U, Next	1
7 rings	neck	Thank U, Next	2
7 rings	net	Thank U, Next	1
7 rings	pay	Thank U, Next	1
7 rings	phone	Thank U, Next	1
7 rings	poppin'you	Thank U, Next	1
7 rings	price	Thank U, Next	1
7 rings	racks	Thank U, Next	1
7 rings	receipts	Thank U, Next	1
7 rings	red	Thank U, Next	1
7 rings	respect	Thank U, Next	1
7 rings	retail	Thank U, Next	1
7 rings	riches	Thank U, Next	1
7 rings	ring	Thank U, Next	1
7 rings	sad	Thank U, Next	1
7 rings	savage	Thank U, Next	1
7 rings	set	Thank U, Next	1
7 rings	settin	Thank U, Next	1
7 rings	shine	Thank U, Next	1
7 rings	shit	Thank U, Next	1
7 rings	shoot	Thank U, Next	2
7 rings	sing	Thank U, Next	1
7 rings	skin	Thank U, Next	1
7 rings	smile	Thank U, Next	1
7 rings	solve	Thank U, Next	2
7 rings	spoil	Thank U, Next	1
7 rings	stacked	Thank U, Next	1
7 rings	stop	Thank U, Next	1
7 rings	store	Thank U, Next	1
7 rings	strings	Thank U, Next	1
7 rings	tattoos	Thank U, Next	1
7 rings	therapy	Thank U, Next	1
7 rings	tied	Thank U, Next	1
7 rings	tiffany's	Thank U, Next	1
7 rings	tone	Thank U, Next	1
