from	to	value
1+1	Haunted	1
1+1	Hip Hop Star (Ft. Big Boi & Sleepy Brown)	1
Haunted	Hip Hop Star (Ft. Big Boi & Sleepy Brown)	1
1+1	Haunted	2
***Flawless (Ft. Chimamanda Ngozi Adichie)	Déjà Vu (Ft. JAY-Z)	4
***Flawless (Ft. Chimamanda Ngozi Adichie)	Drunk in Love (Ft. JAY-Z)	4
***Flawless (Ft. Chimamanda Ngozi Adichie)	Get Me Bodied	4
Déjà Vu (Ft. JAY-Z)	Drunk in Love (Ft. JAY-Z)	4
Déjà Vu (Ft. JAY-Z)	Get Me Bodied	4
Drunk in Love (Ft. JAY-Z)	Get Me Bodied	4
Drunk in Love (Ft. JAY-Z)	Haunted	5
Drunk in Love (Ft. JAY-Z)	Hold Up	5
Haunted	Hold Up	5
Freedom (Ft. Kendrick Lamar)	Get Me Bodied	9
Freedom (Ft. Kendrick Lamar)	Haunted	9
Get Me Bodied	Haunted	9
Upgrade U (Ft. JAY-Z)	Why Don't You Love Me	account
Diva	Yes	act
Kitty Kat	Yes	actin
Freakum Dress	Kitty Kat	acting
Freakum Dress	No Angel	acting
Freakum Dress	Single Ladies (Put a Ring on It)	acting
Kitty Kat	No Angel	acting
Kitty Kat	Single Ladies (Put a Ring on It)	acting
No Angel	Single Ladies (Put a Ring on It)	acting
Halo	Poison	addicted
Halo	Rather Die Young	addicted
Poison	Rather Die Young	addicted
Ego	Ego (Remix) (Ft. Kanye West)	admit
Kitty Kat	Signs (Ft. Missy Elliott)	affection
Diva	Schoolin' Life	age
Hello	Kitty Kat	ago
Hello	Listen	ago
Kitty Kat	Listen	ago
Baby Boy (Ft. Sean Paul)	Dance for You	ah
Baby Boy (Ft. Sean Paul)	Pretty Hurts	ah
Baby Boy (Ft. Sean Paul)	Video Phone (Extended Remix) (Ft. Lady Gaga)	ah
Dance for You	Pretty Hurts	ah
Dance for You	Video Phone (Extended Remix) (Ft. Lady Gaga)	ah
Pretty Hurts	Video Phone (Extended Remix) (Ft. Lady Gaga)	ah
