track_title	word	album	n
10 Bands	07	If You're Reading This It's Too Late	1
10 Bands	10	If You're Reading This It's Too Late	4
10 Bands	100	If You're Reading This It's Too Late	4
10 Bands	17	If You're Reading This It's Too Late	1
10 Bands	50	If You're Reading This It's Too Late	4
10 Bands	6	If You're Reading This It's Too Late	3
10 Bands	amazin	If You're Reading This It's Too Late	1
10 Bands	atlanta	If You're Reading This It's Too Late	1
10 Bands	awake	If You're Reading This It's Too Late	1
10 Bands	band	If You're Reading This It's Too Late	1
10 Bands	bands	If You're Reading This It's Too Late	12
10 Bands	behav	If You're Reading This It's Too Late	1
10 Bands	bleu	If You're Reading This It's Too Late	1
10 Bands	bout	If You're Reading This It's Too Late	1
10 Bands	boxes	If You're Reading This It's Too Late	1
10 Bands	calabasas	If You're Reading This It's Too Late	1
10 Bands	calls	If You're Reading This It's Too Late	2
10 Bands	carolina	If You're Reading This It's Too Late	1
10 Bands	checks	If You're Reading This It's Too Late	1
10 Bands	city	If You're Reading This It's Too Late	2
10 Bands	claim	If You're Reading This It's Too Late	1
10 Bands	clean	If You're Reading This It's Too Late	1
10 Bands	closed	If You're Reading This It's Too Late	1
10 Bands	condo	If You're Reading This It's Too Late	2
10 Bands	cookin	If You're Reading This It's Too Late	1
10 Bands	cooking	If You're Reading This It's Too Late	1
10 Bands	crib	If You're Reading This It's Too Late	2
10 Bands	davinci	If You're Reading This It's Too Late	1
10 Bands	deal	If You're Reading This It's Too Late	1
10 Bands	diamonds	If You're Reading This It's Too Late	3
10 Bands	diana	If You're Reading This It's Too Late	1
10 Bands	dirty	If You're Reading This It's Too Late	1
10 Bands	discuss	If You're Reading This It's Too Late	4
10 Bands	drapes	If You're Reading This It's Too Late	1
10 Bands	em	If You're Reading This It's Too Late	8
10 Bands	feelin	If You're Reading This It's Too Late	2
10 Bands	flick	If You're Reading This It's Too Late	1
10 Bands	free	If You're Reading This It's Too Late	1
10 Bands	fuck	If You're Reading This It's Too Late	5
10 Bands	fuel	If You're Reading This It's Too Late	1
10 Bands	god	If You're Reading This It's Too Late	2
10 Bands	goin	If You're Reading This It's Too Late	1
10 Bands	gotta	If You're Reading This It's Too Late	1
10 Bands	grace	If You're Reading This It's Too Late	1
10 Bands	hands	If You're Reading This It's Too Late	1
10 Bands	happened	If You're Reading This It's Too Late	1
10 Bands	hit	If You're Reading This It's Too Late	2
10 Bands	house	If You're Reading This It's Too Late	3
10 Bands	i'ma	If You're Reading This It's Too Late	4
10 Bands	jordan	If You're Reading This It's Too Late	1
10 Bands	king	If You're Reading This It's Too Late	1
10 Bands	left	If You're Reading This It's Too Late	2
10 Bands	live	If You're Reading This It's Too Late	1
10 Bands	love	If You're Reading This It's Too Late	1
10 Bands	magic	If You're Reading This It's Too Late	1
10 Bands	mama's	If You're Reading This It's Too Late	1
10 Bands	meechy	If You're Reading This It's Too Late	1
10 Bands	mission	If You're Reading This It's Too Late	1
10 Bands	motion	If You're Reading This It's Too Late	1
10 Bands	movin	If You're Reading This It's Too Late	1
10 Bands	niggas	If You're Reading This It's Too Late	4
10 Bands	nights	If You're Reading This It's Too Late	1
10 Bands	nike	If You're Reading This It's Too Late	1
10 Bands	north	If You're Reading This It's Too Late	1
10 Bands	november	If You're Reading This It's Too Late	2
10 Bands	omg	If You're Reading This It's Too Late	4
10 Bands	ovo	If You're Reading This It's Too Late	1
10 Bands	package	If You're Reading This It's Too Late	1
10 Bands	payin	If You're Reading This It's Too Late	1
10 Bands	peace	If You're Reading This It's Too Late	4
10 Bands	phones	If You're Reading This It's Too Late	2
10 Bands	play	If You're Reading This It's Too Late	1
10 Bands	praise	If You're Reading This It's Too Late	1
10 Bands	rapper	If You're Reading This It's Too Late	1
10 Bands	rent	If You're Reading This It's Too Late	1
10 Bands	rest	If You're Reading This It's Too Late	4
10 Bands	run	If You're Reading This It's Too Late	1
10 Bands	safe	If You're Reading This It's Too Late	1
10 Bands	selfish	If You're Reading This It's Too Late	1
10 Bands	sell	If You're Reading This It's Too Late	1
10 Bands	shine	If You're Reading This It's Too Late	1
10 Bands	shit	If You're Reading This It's Too Late	2
10 Bands	shout	If You're Reading This It's Too Late	1
10 Bands	sleep	If You're Reading This It's Too Late	8
10 Bands	soda	If You're Reading This It's Too Late	1
10 Bands	story	If You're Reading This It's Too Late	1
10 Bands	streets	If You're Reading This It's Too Late	1
10 Bands	stride	If You're Reading This It's Too Late	2
10 Bands	szn	If You're Reading This It's Too Late	1
10 Bands	takin	If You're Reading This It's Too Late	1
10 Bands	taking	If You're Reading This It's Too Late	1
10 Bands	til	If You're Reading This It's Too Late	1
10 Bands	time	If You're Reading This It's Too Late	1
10 Bands	timeless	If You're Reading This It's Too Late	1
10 Bands	told	If You're Reading This It's Too Late	1
10 Bands	toronto	If You're Reading This It's Too Late	1
10 Bands	treat	If You're Reading This It's Too Late	1
10 Bands	treatin	If You're Reading This It's Too Late	1
10 Bands	trippin	If You're Reading This It's Too Late	8
10 Bands	tryna	If You're Reading This It's Too Late	1
10 Bands	watches	If You're Reading This It's Too Late	1
10 Bands	week	If You're Reading This It's Too Late	1
10 Bands	woo	If You're Reading This It's Too Late	2
10 Bands	worst	If You're Reading This It's Too Late	1
10 Bands	wri	If You're Reading This It's Too Late	4
10 Bands	wrist	If You're Reading This It's Too Late	1
10 Bands	ya	If You're Reading This It's Too Late	2
