from	to	value
Liar	Lily of the Valley	aah
Liar	You Take My Breath Away	aah
Lily of the Valley	You Take My Breath Away	aah
Bohemian Rhapsody	Dreamer's Ball	aching
Killer Queen	Let Me Entertain You	action
Drowse	Lazing on a Sunday Afternoon	afternoon
Drowse	Modern Times Rock 'N' Roll	afternoon
Drowse	Stone Cold Crazy	afternoon
Lazing on a Sunday Afternoon	Modern Times Rock 'N' Roll	afternoon
Lazing on a Sunday Afternoon	Stone Cold Crazy	afternoon
Modern Times Rock 'N' Roll	Stone Cold Crazy	afternoon
Bohemian Rhapsody	Death on Two Legs (Dedicated to...)	ah
Bohemian Rhapsody	Doing All Right	ah
Bohemian Rhapsody	Don't Stop Me Now	ah
Bohemian Rhapsody	Great King Rat	ah
Bohemian Rhapsody	Let Me Entertain You	ah
Bohemian Rhapsody	Mustapha	ah
Bohemian Rhapsody	My Fairy King	ah
Bohemian Rhapsody	The Prophet's Song	ah
Death on Two Legs (Dedicated to...)	Doing All Right	ah
Death on Two Legs (Dedicated to...)	Don't Stop Me Now	ah
Death on Two Legs (Dedicated to...)	Great King Rat	ah
Death on Two Legs (Dedicated to...)	Let Me Entertain You	ah
Death on Two Legs (Dedicated to...)	Mustapha	ah
Death on Two Legs (Dedicated to...)	My Fairy King	ah
Death on Two Legs (Dedicated to...)	The Prophet's Song	ah
Doing All Right	Don't Stop Me Now	ah
Doing All Right	Great King Rat	ah
Doing All Right	Let Me Entertain You	ah
Doing All Right	Mustapha	ah
Doing All Right	My Fairy King	ah
Doing All Right	The Prophet's Song	ah
Don't Stop Me Now	Great King Rat	ah
Don't Stop Me Now	Let Me Entertain You	ah
Don't Stop Me Now	Mustapha	ah
Don't Stop Me Now	My Fairy King	ah
Don't Stop Me Now	The Prophet's Song	ah
Great King Rat	Let Me Entertain You	ah
Great King Rat	Mustapha	ah
Great King Rat	My Fairy King	ah
Great King Rat	The Prophet's Song	ah
Let Me Entertain You	Mustapha	ah
Let Me Entertain You	My Fairy King	ah
Let Me Entertain You	The Prophet's Song	ah
Mustapha	My Fairy King	ah
Mustapha	The Prophet's Song	ah
My Fairy King	The Prophet's Song	ah
'39	Dead on Time	ahead
'39	Leaving Home Ain't Easy	ahead
Dead on Time	Leaving Home Ain't Easy	ahead
My Fairy King	Son and Daughter	ahh
Brighton Rock	Death on Two Legs (Dedicated to...)	air
Brighton Rock	Leaving Home Ain't Easy	air
Brighton Rock	My Fairy King	air
Brighton Rock	The Millionaire Waltz	air
Death on Two Legs (Dedicated to...)	Leaving Home Ain't Easy	air
Death on Two Legs (Dedicated to...)	My Fairy King	air
Death on Two Legs (Dedicated to...)	The Millionaire Waltz	air
Leaving Home Ain't Easy	My Fairy King	air
Leaving Home Ain't Easy	The Millionaire Waltz	air
My Fairy King	The Millionaire Waltz	air
Mustapha	Stone Cold Crazy	al
Bring Back That Leroy Brown	Dead on Time	alive
Bring Back That Leroy Brown	Don't Stop Me Now	alive
Bring Back That Leroy Brown	Fun It	alive
Bring Back That Leroy Brown	Keep Yourself Alive	alive
Dead on Time	Don't Stop Me Now	alive
Dead on Time	Fun It	alive
Dead on Time	Keep Yourself Alive	alive
Don't Stop Me Now	Fun It	alive
Don't Stop Me Now	Keep Yourself Alive	alive
Fun It	Keep Yourself Alive	alive
Don't Stop Me Now	Fat Bottomed Girls	alright
Don't Stop Me Now	Somebody to Love	alright
Don't Stop Me Now	Son and Daughter	alright
Don't Stop Me Now	Tie Your Mother Down	alright
Don't Stop Me Now	You and I	alright
Fat Bottomed Girls	Somebody to Love	alright
Fat Bottomed Girls	Son and Daughter	alright
Fat Bottomed Girls	Tie Your Mother Down	alright
Fat Bottomed Girls	You and I	alright
Somebody to Love	Son and Daughter	alright
Somebody to Love	Tie Your Mother Down	alright
Somebody to Love	You and I	alright
Son and Daughter	Tie Your Mother Down	alright
Son and Daughter	You and I	alright
Tie Your Mother Down	You and I	alright
Lily of the Valley	The Prophet's Song	answer
Stone Cold Crazy	You Take My Breath Away	anymore
Bring Back That Leroy Brown	The Prophet's Song	babe
Bring Back That Leroy Brown	Tie Your Mother Down	babe
The Prophet's Song	Tie Your Mother Down	babe
Bohemian Rhapsody	Dreamer's Ball	baby
Bohemian Rhapsody	Flick of the Wrist	baby
Bohemian Rhapsody	Good Company	baby
Bohemian Rhapsody	Lily of the Valley	baby
Bohemian Rhapsody	Modern Times Rock 'N' Roll	baby
Bohemian Rhapsody	My Fairy King	baby
Bohemian Rhapsody	Now I'm Here	baby
Bohemian Rhapsody	Seaside Rendezvous	baby
Bohemian Rhapsody	Sweet Lady	baby
Bohemian Rhapsody	Tie Your Mother Down	baby
Dreamer's Ball	Flick of the Wrist	baby
Dreamer's Ball	Good Company	baby
Dreamer's Ball	Lily of the Valley	baby
Dreamer's Ball	Modern Times Rock 'N' Roll	baby
Dreamer's Ball	My Fairy King	baby
Dreamer's Ball	Now I'm Here	baby
Dreamer's Ball	Seaside Rendezvous	baby
Dreamer's Ball	Sweet Lady	baby
Dreamer's Ball	Tie Your Mother Down	baby
Flick of the Wrist	Good Company	baby
Flick of the Wrist	Lily of the Valley	baby
Flick of the Wrist	Modern Times Rock 'N' Roll	baby
Flick of the Wrist	My Fairy King	baby
Flick of the Wrist	Now I'm Here	baby
Flick of the Wrist	Seaside Rendezvous	baby
Flick of the Wrist	Sweet Lady	baby
Flick of the Wrist	Tie Your Mother Down	baby
Good Company	Lily of the Valley	baby
Good Company	Modern Times Rock 'N' Roll	baby
Good Company	My Fairy King	baby
Good Company	Now I'm Here	baby
Good Company	Seaside Rendezvous	baby
Good Company	Sweet Lady	baby
Good Company	Tie Your Mother Down	baby
Lily of the Valley	Modern Times Rock 'N' Roll	baby
