track_title	word	album	n
'39	39	A Night At The Opera	2
'39	ahead	A Night At The Opera	1
'39	assembled	A Night At The Opera	1
'39	blue	A Night At The Opera	2
'39	born	A Night At The Opera	1
'39	brave	A Night At The Opera	1
'39	bring	A Night At The Opera	1
'39	call	A Night At The Opera	3
'39	calling	A Night At The Opera	3
'39	cried	A Night At The Opera	1
'39	cry	A Night At The Opera	1
'39	darlin	A Night At The Opera	1
'39	day	A Night At The Opera	5
'39	days	A Night At The Opera	1
'39	earth	A Night At The Opera	1
'39	eyes	A Night At The Opera	2
'39	feared	A Night At The Opera	1
'39	grandchildren	A Night At The Opera	2
'39	grey	A Night At The Opera	1
'39	hand	A Night At The Opera	3
'39	heal	A Night At The Opera	1
'39	hear	A Night At The Opera	6
'39	hearts	A Night At The Opera	1
'39	heavily	A Night At The Opera	1
'39	home	A Night At The Opera	1
'39	inside	A Night At The Opera	1
'39	land	A Night At The Opera	2
'39	lands	A Night At The Opera	1
'39	letters	A Night At The Opera	3
'39	life	A Night At The Opera	1
'39	lonely	A Night At The Opera	1
'39	looked	A Night At The Opera	1
'39	love	A Night At The Opera	1
'39	milky	A Night At The Opera	1
'39	morn	A Night At The Opera	1
'39	mother's	A Night At The Opera	1
'39	na	A Night At The Opera	2
'39	ne'er	A Night At The Opera	1
'39	newly	A Night At The Opera	1
'39	news	A Night At The Opera	1
'39	night	A Night At The Opera	1
'39	pity	A Night At The Opera	1
'39	sailed	A Night At The Opera	2
'39	sand	A Night At The Opera	3
'39	score	A Night At The Opera	1
'39	seas	A Night At The Opera	1
'39	ship	A Night At The Opera	2
'39	sight	A Night At The Opera	1
'39	souls	A Night At The Opera	1
'39	storytellers	A Night At The Opera	1
'39	sunny	A Night At The Opera	1
'39	sweetest	A Night At The Opera	1
'39	volunteers	A Night At The Opera	2
'39	weigh	A Night At The Opera	1
'39	world	A Night At The Opera	1
'39	write	A Night At The Opera	2
Bicycle Race	america	Jazz	1
Bicycle Race	bark	Jazz	1
Bicycle Race	beauties	Jazz	1
Bicycle Race	bicycle	Jazz	38
Bicycle Race	bike	Jazz	3
Bicycle Race	bite	Jazz	1
Bicycle Race	black	Jazz	1
Bicycle Race	bottomed	Jazz	1
Bicycle Race	caine	Jazz	1
Bicycle Race	candidate	Jazz	1
Bicycle Race	cartier	Jazz	1
Bicycle Race	cheese	Jazz	1
Bicycle Race	choice	Jazz	1
Bicycle Race	christ	Jazz	1
Bicycle Race	coke	Jazz	1
Bicycle Race	coming	Jazz	1
Bicycle Race	cool	Jazz	1
Bicycle Race	dog	Jazz	1
Bicycle Race	duties	Jazz	1
Bicycle Race	fat	Jazz	1
Bicycle Race	forget	Jazz	1
Bicycle Race	frankenstein	Jazz	1
Bicycle Race	girls	Jazz	1
Bicycle Race	god	Jazz	1
Bicycle Race	hey	Jazz	3
Bicycle Race	hot	Jazz	1
Bicycle Race	income	Jazz	1
Bicycle Race	jaws	Jazz	1
Bicycle Race	jesus	Jazz	1
Bicycle Race	john	Jazz	1
Bicycle Race	lord	Jazz	1
Bicycle Race	marks	Jazz	1
Bicycle Race	pan	Jazz	1
Bicycle Race	peter	Jazz	1
Bicycle Race	president	Jazz	1
Bicycle Race	race	Jazz	5
Bicycle Race	races	Jazz	1
Bicycle Race	ride	Jazz	16
Bicycle Race	riding	Jazz	1
Bicycle Race	rolls	Jazz	1
Bicycle Race	royce	Jazz	1
Bicycle Race	scene	Jazz	1
Bicycle Race	set	Jazz	1
Bicycle Race	shark	Jazz	1
Bicycle Race	smile	Jazz	1
Bicycle Race	star	Jazz	1
Bicycle Race	superman	Jazz	1
Bicycle Race	tax	Jazz	1
Bicycle Race	vietnam	Jazz	1
Bicycle Race	wanna	Jazz	3
Bicycle Race	wars	Jazz	1
Bicycle Race	watergate'cause	Jazz	1
Bicycle Race	wayne	Jazz	1
Bicycle Race	white	Jazz	1
Bicycle Race	yeah	Jazz	3
Bohemian Rhapsody	aching	A Night At The Opera	1
Bohemian Rhapsody	ah	A Night At The Opera	1
Bohemian Rhapsody	baby	A Night At The Opera	2
Bohemian Rhapsody	beelzebub	A Night At The Opera	1
Bohemian Rhapsody	begun	A Night At The Opera	1
Bohemian Rhapsody	bismillah	A Night At The Opera	3
Bohemian Rhapsody	blows	A Night At The Opera	3
Bohemian Rhapsody	body's	A Night At The Opera	1
Bohemian Rhapsody	born	A Night At The Opera	1
Bohemian Rhapsody	boy	A Night At The Opera	3
Bohemian Rhapsody	carry	A Night At The Opera	2
Bohemian Rhapsody	caught	A Night At The Opera	1
Bohemian Rhapsody	cry	A Night At The Opera	1
Bohemian Rhapsody	dead	A Night At The Opera	1
Bohemian Rhapsody	devil	A Night At The Opera	1
Bohemian Rhapsody	die	A Night At The Opera	2
Bohemian Rhapsody	easy	A Night At The Opera	4
Bohemian Rhapsody	escape	A Night At The Opera	1
Bohemian Rhapsody	eye	A Night At The Opera	1
Bohemian Rhapsody	eyes	A Night At The Opera	1
Bohemian Rhapsody	family	A Night At The Opera	1
Bohemian Rhapsody	fandango	A Night At The Opera	1
Bohemian Rhapsody	fantasy	A Night At The Opera	1
Bohemian Rhapsody	figaro	A Night At The Opera	1
Bohemian Rhapsody	frightening	A Night At The Opera	1
Bohemian Rhapsody	galileo	A Night At The Opera	5
Bohemian Rhapsody	goodbye	A Night At The Opera	1
Bohemian Rhapsody	gotta	A Night At The Opera	3
Bohemian Rhapsody	gun	A Night At The Opera	1
Bohemian Rhapsody	head	A Night At The Opera	1
Bohemian Rhapsody	killed	A Night At The Opera	1
Bohemian Rhapsody	landslide	A Night At The Opera	1
Bohemian Rhapsody	late	A Night At The Opera	1
Bohemian Rhapsody	leave	A Night At The Opera	2
Bohemian Rhapsody	life	A Night At The Opera	3
Bohemian Rhapsody	lightning	A Night At The Opera	1
Bohemian Rhapsody	love	A Night At The Opera	1
Bohemian Rhapsody	loves	A Night At The Opera	1
Bohemian Rhapsody	low	A Night At The Opera	1
Bohemian Rhapsody	magnifico	A Night At The Opera	1
Bohemian Rhapsody	mama	A Night At The Opera	4
Bohemian Rhapsody	mamma	A Night At The Opera	3
Bohemian Rhapsody	matter	A Night At The Opera	1
Bohemian Rhapsody	matters	A Night At The Opera	4
Bohemian Rhapsody	mia	A Night At The Opera	3
Bohemian Rhapsody	monstrosity	A Night At The Opera	1
Bohemian Rhapsody	na	A Night At The Opera	1
Bohemian Rhapsody	ooh	A Night At The Opera	5
Bohemian Rhapsody	outta	A Night At The Opera	1
Bohemian Rhapsody	poor	A Night At The Opera	4
Bohemian Rhapsody	pulled	A Night At The Opera	1
Bohemian Rhapsody	real	A Night At The Opera	1
Bohemian Rhapsody	reality	A Night At The Opera	1
Bohemian Rhapsody	scaramouche	A Night At The Opera	2
Bohemian Rhapsody	sends	A Night At The Opera	1
