from	to	value
ME! (Ft. Brendon Urie)	Paper Rings	1
I Think He Knows	Starlight	17
Breathe (Ft. Colbie Caillat)	ME! (Ft. Brendon Urie)	2
Breathe (Ft. Colbie Caillat)	Paper Rings	2
ME! (Ft. Brendon Urie)	Paper Rings	2
Daylight	It’s Nice to Have a Friend	20
Daylight	Lover	20
It’s Nice to Have a Friend	Lover	20
I Wish You Would	The Way I Loved You	2am
Come Back... Be Here	Paper Rings	4
...Ready for It?	The Way I Loved You	act
Daylight	How You Get the Girl	afraid
Daylight	Love Story	afraid
How You Get the Girl	Love Story	afraid
London Boy	​the last great american dynasty	afternoon
​peace	State of Grace	age
​peace	The Best Day	age
State of Grace	The Best Day	age
Death by a Thousand Cuts	You Need To Calm Down	ages
Cornelia Street	Everything Has Changed (Ft. Ed Sheeran)	ago
Cornelia Street	I Knew You Were Trouble.	ago
Cornelia Street	King of My Heart	ago
Everything Has Changed (Ft. Ed Sheeran)	I Knew You Were Trouble.	ago
Everything Has Changed (Ft. Ed Sheeran)	King of My Heart	ago
I Knew You Were Trouble.	King of My Heart	ago
Daylight	Dress	ah
Daylight	End Game (Ft. Ed Sheeran & Future)	ah
Daylight	​exile (Ft. Bon Iver)	ah
Daylight	False God	ah
Daylight	Girl at Home	ah
Daylight	​hoax	ah
Daylight	I Think He Knows	ah
Daylight	​invisible string	ah
Daylight	London Boy	ah
Daylight	Lover	ah
Daylight	Miss Americana & The Heartbreak Prince	ah
Daylight	Paper Rings	ah
Daylight	Soon You'll Get Better (Ft. The Chicks)	ah
Daylight	Wildest Dreams	ah
Dress	End Game (Ft. Ed Sheeran & Future)	ah
Dress	​exile (Ft. Bon Iver)	ah
Dress	False God	ah
Dress	Girl at Home	ah
Dress	​hoax	ah
Dress	I Think He Knows	ah
Dress	​invisible string	ah
Dress	London Boy	ah
Dress	Lover	ah
Dress	Miss Americana & The Heartbreak Prince	ah
Dress	Paper Rings	ah
Dress	Soon You'll Get Better (Ft. The Chicks)	ah
Dress	Wildest Dreams	ah
End Game (Ft. Ed Sheeran & Future)	​exile (Ft. Bon Iver)	ah
End Game (Ft. Ed Sheeran & Future)	False God	ah
End Game (Ft. Ed Sheeran & Future)	Girl at Home	ah
End Game (Ft. Ed Sheeran & Future)	​hoax	ah
End Game (Ft. Ed Sheeran & Future)	I Think He Knows	ah
End Game (Ft. Ed Sheeran & Future)	​invisible string	ah
End Game (Ft. Ed Sheeran & Future)	London Boy	ah
End Game (Ft. Ed Sheeran & Future)	Lover	ah
End Game (Ft. Ed Sheeran & Future)	Miss Americana & The Heartbreak Prince	ah
End Game (Ft. Ed Sheeran & Future)	Paper Rings	ah
End Game (Ft. Ed Sheeran & Future)	Soon You'll Get Better (Ft. The Chicks)	ah
End Game (Ft. Ed Sheeran & Future)	Wildest Dreams	ah
​exile (Ft. Bon Iver)	False God	ah
​exile (Ft. Bon Iver)	Girl at Home	ah
​exile (Ft. Bon Iver)	​hoax	ah
​exile (Ft. Bon Iver)	I Think He Knows	ah
​exile (Ft. Bon Iver)	​invisible string	ah
​exile (Ft. Bon Iver)	London Boy	ah
​exile (Ft. Bon Iver)	Lover	ah
​exile (Ft. Bon Iver)	Miss Americana & The Heartbreak Prince	ah
​exile (Ft. Bon Iver)	Paper Rings	ah
​exile (Ft. Bon Iver)	Soon You'll Get Better (Ft. The Chicks)	ah
​exile (Ft. Bon Iver)	Wildest Dreams	ah
False God	Girl at Home	ah
False God	​hoax	ah
False God	I Think He Knows	ah
False God	​invisible string	ah
False God	London Boy	ah
False God	Lover	ah
False God	Miss Americana & The Heartbreak Prince	ah
False God	Paper Rings	ah
False God	Soon You'll Get Better (Ft. The Chicks)	ah
False God	Wildest Dreams	ah
Girl at Home	​hoax	ah
Girl at Home	I Think He Knows	ah
Girl at Home	​invisible string	ah
Girl at Home	London Boy	ah
Girl at Home	Lover	ah
Girl at Home	Miss Americana & The Heartbreak Prince	ah
Girl at Home	Paper Rings	ah
Girl at Home	Soon You'll Get Better (Ft. The Chicks)	ah
Girl at Home	Wildest Dreams	ah
​hoax	I Think He Knows	ah
​hoax	​invisible string	ah
​hoax	London Boy	ah
​hoax	Lover	ah
​hoax	Miss Americana & The Heartbreak Prince	ah
​hoax	Paper Rings	ah
​hoax	Soon You'll Get Better (Ft. The Chicks)	ah
​hoax	Wildest Dreams	ah
I Think He Knows	​invisible string	ah
I Think He Knows	London Boy	ah
I Think He Knows	Lover	ah
I Think He Knows	Miss Americana & The Heartbreak Prince	ah
I Think He Knows	Paper Rings	ah
I Think He Knows	Soon You'll Get Better (Ft. The Chicks)	ah
I Think He Knows	Wildest Dreams	ah
​invisible string	London Boy	ah
​invisible string	Lover	ah
