from	to	value
Revolution 9 (Ft. Yoko Ono)	Sun King	aaah
I Want to Tell You	Sgt. Pepper's Lonely Hearts Club Band	act
I Want to Tell You	You Won't See Me	act
Sgt. Pepper's Lonely Hearts Club Band	You Won't See Me	act
For No One	Sgt. Pepper's Lonely Hearts Club Band	ago
Because	Eleanor Rigby	ah
Because	Fixing a Hole	ah
Because	Getting Better	ah
Because	Girl	ah
Because	Honey Pie	ah
Because	I'm Looking Through You	ah
Because	If I Needed Someone	ah
Because	Lovely Rita	ah
Eleanor Rigby	Fixing a Hole	ah
Eleanor Rigby	Getting Better	ah
Eleanor Rigby	Girl	ah
Eleanor Rigby	Honey Pie	ah
Eleanor Rigby	I'm Looking Through You	ah
Eleanor Rigby	If I Needed Someone	ah
Eleanor Rigby	Lovely Rita	ah
Fixing a Hole	Getting Better	ah
Fixing a Hole	Girl	ah
Fixing a Hole	Honey Pie	ah
Fixing a Hole	I'm Looking Through You	ah
Fixing a Hole	If I Needed Someone	ah
Fixing a Hole	Lovely Rita	ah
Getting Better	Girl	ah
Getting Better	Honey Pie	ah
Getting Better	I'm Looking Through You	ah
Getting Better	If I Needed Someone	ah
Getting Better	Lovely Rita	ah
Girl	Honey Pie	ah
Girl	I'm Looking Through You	ah
Girl	If I Needed Someone	ah
Girl	Lovely Rita	ah
Honey Pie	I'm Looking Through You	ah
Honey Pie	If I Needed Someone	ah
Honey Pie	Lovely Rita	ah
I'm Looking Through You	If I Needed Someone	ah
I'm Looking Through You	Lovely Rita	ah
If I Needed Someone	Lovely Rita	ah
Because	Lovely Rita	ahh
Because	Lucy in the Sky with Diamonds	ahh
Lovely Rita	Lucy in the Sky with Diamonds	ahh
Don't Pass Me By	Revolution 9 (Ft. Yoko Ono)	alright
Don't Pass Me By	The End	alright
Revolution 9 (Ft. Yoko Ono)	The End	alright
Helter Skelter	Lucy in the Sky with Diamonds	answer
Helter Skelter	She Came in Through the Bathroom Window	answer
Helter Skelter	When I'm Sixty-Four	answer
Lucy in the Sky with Diamonds	She Came in Through the Bathroom Window	answer
Lucy in the Sky with Diamonds	When I'm Sixty-Four	answer
She Came in Through the Bathroom Window	When I'm Sixty-Four	answer
Drive My Car	I Want You (She's So Heavy)	babe
Cry Baby Cry	Drive My Car	baby
Cry Baby Cry	I'm Looking Through You	baby
Cry Baby Cry	Run for Your Life	baby
Drive My Car	I'm Looking Through You	baby
Drive My Car	Run for Your Life	baby
I'm Looking Through You	Run for Your Life	baby
I Want You (She's So Heavy)	The Word	bad
Back in the U.S.S.R.	Come Together	bag
Back in the U.S.S.R.	Lovely Rita	bag
Back in the U.S.S.R.	Polythene Pam	bag
Come Together	Lovely Rita	bag
Come Together	Polythene Pam	bag
Lovely Rita	Polythene Pam	bag
Being for the Benefit of Mr. Kite!	Ob-La-Di, Ob-La-Da	band
Being for the Benefit of Mr. Kite!	Sgt. Pepper's Lonely Hearts Club Band	band
Being for the Benefit of Mr. Kite!	Sgt. Pepper's Lonely Hearts Club Band (Reprise)	band
Being for the Benefit of Mr. Kite!	Yellow Submarine	band
Ob-La-Di, Ob-La-Da	Sgt. Pepper's Lonely Hearts Club Band	band
Ob-La-Di, Ob-La-Da	Sgt. Pepper's Lonely Hearts Club Band (Reprise)	band
Ob-La-Di, Ob-La-Da	Yellow Submarine	band
Sgt. Pepper's Lonely Hearts Club Band	Sgt. Pepper's Lonely Hearts Club Band (Reprise)	band
Sgt. Pepper's Lonely Hearts Club Band	Yellow Submarine	band
Sgt. Pepper's Lonely Hearts Club Band (Reprise)	Yellow Submarine	band
Happiness is a Warm Gun	Maxwell's Silver Hammer	bang
A Day in the Life	Back in the U.S.S.R.	bed
A Day in the Life	I'm Only Sleeping	bed
A Day in the Life	Norwegian Wood (This Bird Has Flown)	bed
A Day in the Life	Octopus's Garden	bed
Back in the U.S.S.R.	I'm Only Sleeping	bed
Back in the U.S.S.R.	Norwegian Wood (This Bird Has Flown)	bed
Back in the U.S.S.R.	Octopus's Garden	bed
I'm Only Sleeping	Norwegian Wood (This Bird Has Flown)	bed
I'm Only Sleeping	Octopus's Garden	bed
Norwegian Wood (This Bird Has Flown)	Octopus's Garden	bed
The Word	Tomorrow Never Knows	beginning
Being for the Benefit of Mr. Kite!	Good Night	begins
Being for the Benefit of Mr. Kite!	Ob-La-Di, Ob-La-Da	begins
Being for the Benefit of Mr. Kite!	She's Leaving Home	begins
Being for the Benefit of Mr. Kite!	Yellow Submarine	begins
Good Night	Ob-La-Di, Ob-La-Da	begins
Good Night	She's Leaving Home	begins
Good Night	Yellow Submarine	begins
Ob-La-Di, Ob-La-Da	She's Leaving Home	begins
Ob-La-Di, Ob-La-Da	Yellow Submarine	begins
She's Leaving Home	Yellow Submarine	begins
Here, There and Everywhere	Tomorrow Never Knows	believing
Eleanor Rigby	Fixing a Hole	belong
Eleanor Rigby	Honey Pie	belong
Fixing a Hole	Honey Pie	belong
Good Day Sunshine	Mother Nature's Son	beneath
Good Day Sunshine	Octopus's Garden	beneath
Good Day Sunshine	Yellow Submarine	beneath
Mother Nature's Son	Octopus's Garden	beneath
Mother Nature's Son	Yellow Submarine	beneath
Octopus's Garden	Yellow Submarine	beneath
Being for the Benefit of Mr. Kite!	Lovely Rita	bill
Being for the Benefit of Mr. Kite!	The Continuing Story of Bungalow Bill (Ft. Yoko Ono)	bill
Lovely Rita	The Continuing Story of Bungalow Bill (Ft. Yoko Ono)	bill
Sgt. Pepper's Lonely Hearts Club Band	With a Little Help from My Friends	billy
And Your Bird Can Sing	Cry Baby Cry	bird
And Your Bird Can Sing	Norwegian Wood (This Bird Has Flown)	bird
Cry Baby Cry	Norwegian Wood (This Bird Has Flown)	bird
Dear Prudence	Revolution 9 (Ft. Yoko Ono)	birds
Birthday	When I'm Sixty-Four	birthday
Martha My Dear	Nowhere Man	bit
Martha My Dear	Revolution 9 (Ft. Yoko Ono)	bit
Nowhere Man	Revolution 9 (Ft. Yoko Ono)	bit
Ob-La-Di, Ob-La-Da	Savoy Truffle	bla
Blackbird	Rocky Raccoon	black
Blackbird	Yer Blues	black
Rocky Raccoon	Yer Blues	black
A Day in the Life	Honey Pie	blew
Nowhere Man	What Goes On	blind
Because	Savoy Truffle	blows
