track_title	word	album	n
A Day in the Life	4,000	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	alarm	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	albert	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	army	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	bed	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	blackburn	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	blew	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	book	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	boy	Sgt. Pepper's Lonely Hearts Club Band	3
A Day in the Life	bus	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	car	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	changed	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	clock	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	coat	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	comb	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	count	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	crowd	Sgt. Pepper's Lonely Hearts Club Band	2
A Day in the Life	cup	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	downstairs	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	dragged	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	drank	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	dream	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	english	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	fell	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	fill	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	film	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	flat	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	found	Sgt. Pepper's Lonely Hearts Club Band	3
A Day in the Life	grabbed	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	grade	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	hall	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	hat	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	head	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	holes	Sgt. Pepper's Lonely Hearts Club Band	3
A Day in the Life	house	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	lancashire	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	late	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	laugh	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	lights	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	lords	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	love	Sgt. Pepper's Lonely Hearts Club Band	2
A Day in the Life	lucky	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	mind	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	na	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	news	Sgt. Pepper's Lonely Hearts Club Band	3
A Day in the Life	notice	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	noticed	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	people	Sgt. Pepper's Lonely Hearts Club Band	2
A Day in the Life	photograph	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	read	Sgt. Pepper's Lonely Hearts Club Band	3
A Day in the Life	rings	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	sad	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	smoke	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	spoke	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	stared	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	stood	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	takes	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	upstairs	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	war	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	woke	Sgt. Pepper's Lonely Hearts Club Band	1
A Day in the Life	won	Sgt. Pepper's Lonely Hearts Club Band	1
And Your Bird Can Sing	awoken	Revolver	1
And Your Bird Can Sing	bird	Revolver	4
And Your Bird Can Sing	bring	Revolver	1
And Your Bird Can Sing	broken	Revolver	1
And Your Bird Can Sing	direction	Revolver	1
And Your Bird Can Sing	green	Revolver	1
And Your Bird Can Sing	hear	Revolver	2
And Your Bird Can Sing	heard	Revolver	1
And Your Bird Can Sing	na	Revolver	1
And Your Bird Can Sing	possessions	Revolver	1
And Your Bird Can Sing	prized	Revolver	1
And Your Bird Can Sing	round	Revolver	4
And Your Bird Can Sing	sing	Revolver	1
And Your Bird Can Sing	sound	Revolver	1
And Your Bird Can Sing	start	Revolver	1
And Your Bird Can Sing	swing	Revolver	1
And Your Bird Can Sing	weigh	Revolver	1
And Your Bird Can Sing	wonders	Revolver	1
Back in the U.S.S.R.	bag	The Beatles (The White Album)	1
Back in the U.S.S.R.	balalaikas	The Beatles (The White Album)	1
Back in the U.S.S.R.	beach	The Beatles (The White Album)	1
Back in the U.S.S.R.	bed	The Beatles (The White Album)	1
Back in the U.S.S.R.	boacdidn't	The Beatles (The White Album)	1
Back in the U.S.S.R.	boy	The Beatles (The White Album)	2
Back in the U.S.S.R.	boys	The Beatles (The White Album)	2
Back in the U.S.S.R.	comrade	The Beatles (The White Album)	1
Back in the U.S.S.R.	daddy's	The Beatles (The White Album)	1
Back in the U.S.S.R.	disconnect	The Beatles (The White Album)	1
Back in the U.S.S.R.	dreadful	The Beatles (The White Album)	1
Back in the U.S.S.R.	farm	The Beatles (The White Album)	1
Back in the U.S.S.R.	flew	The Beatles (The White Album)	1
Back in the U.S.S.R.	flight	The Beatles (The White Album)	1
Back in the U.S.S.R.	gee	The Beatles (The White Album)	1
Back in the U.S.S.R.	georgia's	The Beatles (The White Album)	2
Back in the U.S.S.R.	girls	The Beatles (The White Album)	4
Back in the U.S.S.R.	hear	The Beatles (The White Album)	1
Back in the U.S.S.R.	hey	The Beatles (The White Album)	3
Back in the U.S.S.R.	home	The Beatles (The White Album)	2
Back in the U.S.S.R.	honey	The Beatles (The White Album)	2
Back in the U.S.S.R.	knee	The Beatles (The White Album)	1
Back in the U.S.S.R.	knock	The Beatles (The White Album)	2
Back in the U.S.S.R.	leave	The Beatles (The White Album)	3
Back in the U.S.S.R.	lucky	The Beatles (The White Album)	4
Back in the U.S.S.R.	mi	The Beatles (The White Album)	16
Back in the U.S.S.R.	miami	The Beatles (The White Album)	1
